aaa			I	L	Ghotuo
aab			I	L	Alumu-Tesu
aac			I	L	Ari
aad			I	L	Amal
aae			I	L	Albanian, Arbëreshë
aaf			I	L	Aranadan
aai			I	L	Arifama-Miniafia
aak			I	L	Ankave
aal			I	L	Afade
aam			I	L	Aramanik
aan			I	L	Anambé
aao			I	L	Arabic, Algerian Saharan Spoken
aap			I	L	Arára, Pará
aaq			I	E	Abnaki, Eastern
aar	aar	aa	I	L	Afar
aas			I	L	Aasáx
aat			I	L	Albanian, Arvanitika
aau			I	L	Abau
aaw			I	L	Solong
aax			I	L	Mandobo Atas
aay			I	L	Aariya
aaz			I	L	Amarasi
aba			I	L	Abé
abb			I	L	Bankon
abc			I	L	Ayta, Ambala
abd			I	L	Agta, Camarines Norte
abe			I	L	Abnaki, Western
abf			I	L	Abai Sungai
abg			I	L	Abaga
abh			I	L	Arabic, Tajiki Spoken
abi			I	L	Abidji
abj			I	E	Aka-Bea
abk	abk	ab	I	L	Abkhazian
abl			I	L	Abung
abm			I	L	Abanyom
abn			I	L	Abua
abo			I	L	Abon
abp			I	L	Ayta, Abenlen
abq			I	L	Abaza
abr			I	L	Abron
abs			I	L	Malay, Ambonese
abt			I	L	Ambulas
abu			I	L	Abure
abv			I	L	Arabic, Baharna Spoken
abw			I	L	Pal
abx			I	L	Inabaknon
aby			I	L	Aneme Wake
abz			I	L	Abui
aca			I	L	Achagua
acb			I	L	Áncá
acc			I	L	Achí, Cubulco
acd			I	L	Gikyode
ace	ace		I	L	Achinese
acf			I	L	Saint Lucian Creole French
ach	ach		I	L	Acoli
aci			I	E	Aka-Cari
ack			I	E	Aka-Kora
acl			I	E	Akar-Bale
acm			I	L	Arabic, Mesopotamian Spoken
acn			I	L	Achang
acp			I	L	Acipa, Eastern
acq			I	L	Arabic, Ta'izzi-Adeni Spoken
acr			I	L	Achí, Rabinal
acs			I	E	Acroá
act			I	L	Achterhoeks
acu			I	L	Achuar-Shiwiar
acv			I	L	Achumawi
acw			I	L	Arabic, Hijazi Spoken
acx			I	L	Arabic, Omani Spoken
acy			I	L	Arabic, Cypriot Spoken
acz			I	L	Acheron
ada	ada		I	L	Adangme
adb			I	L	Adabe
add			I	L	Dzodinka
ade			I	L	Adele
adf			I	L	Arabic, Dhofari Spoken
adg			I	L	Andegerebinha
adh			I	L	Adhola
adi			I	L	Adi
adj			I	L	Adioukrou
adl			I	L	Adi, Galo
adn			I	L	Adang
ado			I	L	Abu
adp			I	L	Adap
adq			I	L	Adangbe
adr			I	L	Adonara
ads			I	L	Adamorobe Sign Language
adt			I	L	Adynyamathanha
adu			I	L	Aduge
adw			I	L	Amundava
adx			I	L	Tibetan, Amdo
ady	ady		I	L	Adyghe; Adygei
aea			I	L	Areba
aeb			I	L	Arabic, Tunisian Spoken
aec			I	L	Arabic, Saidi Spoken
aed			I	L	Argentine Sign Language
aee			I	L	Pashayi, Northeast
aek			I	L	Haeke
ael			I	L	Ambele
aem			I	L	Arem
aen			I	L	Armenian Sign Language
aeq			I	L	Aer
aer			I	L	Arrernte, Eastern
aes			I	E	Alsea
aew			I	L	Ambakich
aex			I	L	Amerax
aey			I	L	Amele
afb			I	L	Arabic, Gulf Spoken
afe			I	L	Putukwam
afh	afh		I	C	Afrihili
afi			I	L	Akrukay
afn			I	L	Defaka
afo			I	L	Eloyi
afr	afr	af	I	L	Afrikaans
afs			I	L	Afro-Seminole Creole
aft			I	L	Afitti
afu			I	L	Awutu
afz			I	L	Obokuitai
aga			I	E	Aguano
agb			I	L	Legbo
agc			I	L	Agatu
agd			I	L	Agarabi
age			I	L	Angal
agf			I	L	Arguni
agg			I	L	Angor
agh			I	L	Ngelima
agi			I	L	Agariya
agj			I	L	Argobba
agk			I	L	Agta, Isarog
agl			I	L	Fembe
agm			I	L	Angaatiha
agn			I	L	Agutaynen
ago			I	L	Tainae
agp			I	L	Paranan
agq			I	L	Aghem
agr			I	L	Aguaruna
ags			I	L	Esimbi
agt			I	L	Agta, Central Cagayan
agu			I	L	Aguacateco
agv			I	L	Agta, Remontado
agw			I	L	Kahua
agx			I	L	Aghul
agy			I	L	Alta, Southern
agz			I	L	Agta, Mt. Iriga
aha			I	L	Ahanta
ahb			I	L	Axamb
ahe			I	L	Ahe
ahg			I	L	Qimant
ahh			I	L	Aghu
ahi			I	L	Aizi, Tiagbamrin
ahk			I	L	Akha
ahl			I	L	Igo
ahm			I	L	Aizi, Mobumrin
ahn			I	L	Àhàn
aho			I	E	Ahom
ahp			I	L	Aizi, Aproumu
ahr			I	L	Ahirani
ahs			I	L	Ashe
aht			I	L	Ahtena
aia			I	L	Arosi
aib			I	L	Ainu (China)
aic			I	L	Ainbai
aid			I	L	Alngith
aie			I	L	Amara
aif			I	L	Agi
aig			I	L	Antigua and Barbuda Creole English
aih			I	L	Ai-Cham
aii			I	L	Assyrian Neo-Aramaic
aij			I	L	Lishanid Noshan
aik			I	L	Ake
ail			I	L	Aimele
aim			I	L	Aimol
ain	ain		I	L	Ainu (Japan)
aio			I	L	Aiton
aip			I	L	Burumakok
aiq			I	L	Aimaq
air			I	L	Airoran
ais			I	L	Amis, Nataoran
ait			I	E	Arikem
aix			I	L	Aigon
aiy			I	L	Ali
aiz			I	L	Aari
aja			I	L	Aja (Sudan)
ajg			I	L	Aja (Benin)
aji			I	L	Ajië
ajp			I	L	Arabic, South Levantine Spoken
ajt			I	L	Arabic, Judeo-Tunisian
aju			I	L	Arabic, Judeo-Moroccan
ajw			I	E	Ajawa
ajz			I	L	Amri
aka	aka	ak	M	L	Akan
akb			I	L	Batak Angkola
akc			I	L	Mpur
akd			I	L	Ukpet-Ehom
ake			I	L	Akawaio
akf			I	L	Akpa
akg			I	L	Anakalangu
akh			I	L	Angal Heneng
aki			I	L	Aiome
akj			I	E	Aka-Jeru
akk	akk		I	A	Akkadian
akl			I	L	Aklanon
akm			I	E	Aka-Bo
akn			I	L	Amikoana
ako			I	L	Akurio
akp			I	L	Siwu
akq			I	L	Ak
akr			I	L	Araki
aks			I	L	Akaselem
akt			I	L	Akolet
aku			I	L	Akum
akv			I	L	Akhvakh
akw			I	L	Akwa
akx			I	E	Aka-Kede
aky			I	E	Aka-Kol
akz			I	L	Alabama
ala			I	L	Alago
alc			I	L	Qawasqar
ald			I	L	Alladian
ale	ale		I	L	Aleut
alf			I	L	Alege
alh			I	L	Alawa
ali			I	L	Amaimon
alj			I	L	Alangan
alk			I	L	Alak
all			I	L	Allar
alm			I	L	Amblong
aln			I	L	Albanian, Gheg
alo			I	L	Larike-Wakasihu
alp			I	L	Alune
alq			I	L	Algonquin
alr			I	L	Alutor
als			I	L	Albanian, Tosk
alt	alt		I	L	Altai, Southern
alu			I	L	'Are'are
alw			I	L	Alaba
